GAME_ID,GAME_DATE,MATCHUP
0021901316,2020-08-14,MIA @ IND
0021901317,2020-08-14,OKC @ LAC
0021901318,2020-08-14,TOR vs. DEN
0021901315,2020-08-14,HOU vs. PHI
0021901312,2020-08-13,ORL vs. NOP
0021901309,2020-08-13,POR @ BKN
0021901308,2020-08-13,BOS vs. WAS
0021901314,2020-08-13,SAS @ UTA
0021901311,2020-08-13,MEM vs. MIL
0021901310,2020-08-13,LAL vs. SAC
0021901313,2020-08-13,PHX vs. DAL
0021901307,2020-08-12,LAC @ DEN
0021901305,2020-08-12,PHI vs. TOR
0021901304,2020-08-12,HOU vs. IND
0021901306,2020-08-12,MIA @ OKC
0021901297,2020-08-11,BKN @ ORL
0021901302,2020-08-11,NOP @ SAC
0021901301,2020-08-11,MEM vs. BOS
0021901300,2020-08-11,POR @ DAL
0021901299,2020-08-11,PHI vs. PHX
0021901298,2020-08-11,HOU @ SAS
0021901303,2020-08-11,MIL @ WAS
0021901292,2020-08-10,OKC @ PHX
0021901293,2020-08-10,DAL @ UTA
0021901295,2020-08-10,IND @ MIA
0021901296,2020-08-10,DEN @ LAL
0021901294,2020-08-10,MIL vs. TOR
0021901290,2020-08-09,SAC vs. HOU
0021901291,2020-08-09,BKN @ LAC
0021901287,2020-08-09,SAS @ NOP
0021901285,2020-08-09,WAS @ OKC
0021901289,2020-08-09,PHI @ POR
0021901288,2020-08-09,ORL @ BOS
0021901286,2020-08-09,MEM @ TOR
0021901284,2020-08-08,DAL vs. MIL
0021901282,2020-08-08,IND vs. LAL
0021901283,2020-08-08,PHX @ MIA
0021901281,2020-08-08,UTA @ DEN
0021901280,2020-08-08,POR vs. LAC
0021901279,2020-08-07,BOS @ TOR
0021901274,2020-08-07,SAS vs. UTA
0021901275,2020-08-07,OKC @ MEM
0021901276,2020-08-07,SAC @ BKN
0021901278,2020-08-07,WAS @ NOP
0021901277,2020-08-07,PHI vs. ORL
0021901271,2020-08-06,DAL vs. LAC
0021901269,2020-08-06,MIL vs. MIA
0021901273,2020-08-06,HOU vs. LAL
0021901272,2020-08-06,DEN vs. POR
0021901268,2020-08-06,SAC vs. NOP
0021901270,2020-08-06,IND @ PHX
0021901266,2020-08-05,TOR @ ORL
0021901264,2020-08-05,SAS vs. DEN
0021901262,2020-08-05,MEM @ UTA
0021901267,2020-08-05,BOS vs. BKN
0021901263,2020-08-05,PHI @ WAS
0021901265,2020-08-05,OKC @ LAL
0021901259,2020-08-04,IND vs. ORL
0021901258,2020-08-04,LAC vs. PHX
0021901261,2020-08-04,HOU @ POR
0021901260,2020-08-04,MIA vs. BOS
0021901257,2020-08-04,SAC vs. DAL
0021901256,2020-08-04,MIL vs. BKN
