gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0021701218,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:42 PM EST),period,start,0,0,1
0021701218,4,PT12M00.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,Jump Ball Lopez vs. Capela: Tip to Tucker,Jump Ball,,1,0,2
0021701218,7,PT11M47.00S,1,1610612745,HOU,2772,Ariza,T. Ariza,220,115,25,Missed,1,,,0,v,MISS Ariza 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3
0021701218,8,PT11M45.00S,1,1610612745,HOU,203991,Capela,C. Capela,0,0,0,,0,,,0,v,Capela REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,4
0021701218,11,PT11M39.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,-6,1,Missed,1,,,0,v,MISS Harden 1' Driving Layup,Missed Shot,Driving Layup Shot,1,2,5
0021701218,12,PT11M38.00S,1,1610612745,HOU,203991,Capela,C. Capela,0,0,0,,0,,,0,v,Capela REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,6
0021701218,9,PT11M38.00S,1,1610612745,HOU,203991,Capela,C. Capela,-14,18,2,Missed,1,,,0,v,MISS Capela 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,7
0021701218,10,PT11M36.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,Lopez REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8
0021701218,13,PT11M23.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,18,25,3,Missed,1,,,0,h,MISS Lopez 3' Layup,Missed Shot,Layup Shot,1,2,9
0021701218,14,PT11M19.00S,1,1610612745,HOU,203991,Capela,C. Capela,0,0,0,,0,,,0,v,Capela REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,10
0021701218,15,PT11M09.00S,1,1610612745,HOU,203991,Capela,C. Capela,2,11,1,Missed,1,,,0,v,MISS Capela 1' Hook Shot,Missed Shot,Hook Shot,1,2,11
0021701218,16,PT11M09.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,Lopez REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,12
0021701218,17,PT11M07.00S,1,1610612747,LAL,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,h,Caruso Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,13
0021701218,18,PT10M51.00S,1,1610612747,LAL,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,h,Caruso P.FOUL (P1.T1) (B.Adams),Foul,Personal,1,0,14
0021701218,20,PT10M36.00S,1,1610612745,HOU,201935,Harden,J. Harden,131,233,27,Missed,1,,,0,v,MISS Harden 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,15
0021701218,22,PT10M36.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Rebound,Rebound,Unknown,0,0,16
0021701218,21,PT10M36.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Turnover: Shot Clock (T#1),Turnover,Shot Clock Turnover,0,0,17
0021701218,23,PT10M22.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,16,17,2,Made,1,2,0,2,h,Lopez 2' Layup (2 PTS) (Caruso 1 AST),Made Shot,Layup Shot,1,2,18
0021701218,25,PT10M22.00S,1,1610612745,HOU,203991,Capela,C. Capela,0,0,0,,0,,,0,v,Capela S.FOUL (P1.T1) (B.Adams),Foul,Shooting,1,0,19
0021701218,27,PT10M22.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,0,0,0,,0,3,0,3,h,Lopez Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,20
0021701218,28,PT10M08.00S,1,1610612747,LAL,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,h,Caruso P.FOUL (P2.T2) (S.Twardoski),Foul,Personal,1,0,21
