gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,203114,Khris,Middleton,K. Middleton,khris-middleton,F,,20,12:37,58.2,0,15,8,1,0,0,0,5,10,0.5,3,6,0.5
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1629023,P.J.,Washington,P. Washington,pj-washington,F,,25,13:23,59.3,0,19,2,4,2,0,0,7,18,0.389,4,11,0.364
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1629655,Daniel,Gafford,D. Gafford,daniel-gafford,C,,21,9:06,42.3,0,7,3,3,2,2,1,3,6,0.5,1,4,0.25
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1631108,Max,Christie,M. Christie,max-christie,G,,00,14:57,68.8,0,10,4,5,1,1,0,4,14,0.286,2,10,0.2
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1630314,Brandon,Williams,B. Williams,brandon-williams,G,,10,12:07,54.7,0,13,4,8,1,0,1,5,12,0.417,2,6,0.333
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,203939,Dwight,Powell,D. Powell,dwight-powell,,,7,12:29,53.4,0,10,3,8,2,1,1,4,8,0.5,2,5,0.4
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1628997,Caleb,Martin,C. Martin,caleb-martin,,,16,11:47,49.6,0,13,1,5,4,0,1,4,10,0.4,1,4,0.25
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1642948,Ryan,Nembhard,R. Nembhard,ryan-nembhard,,,9,9:29,41.4,0,10,5,2,2,3,0,4,7,0.571,2,3,0.667
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1642358,AJ,Johnson,A. Johnson,aj-johnson,,,8,5:50,24.3,0,9,1,2,0,0,0,3,3,1.0,1,1,1.0
0022500883,1610612742,Dallas,Mavericks,DAL,mavericks,1642967,John,Poulakidas,J. Poulakidas,john-poulakidas,,,,6:11,28.0,0,7,4,1,1,0,0,2,5,0.4,1,4,0.25
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1642851,Kon,Knueppel,K. Knueppel,kon-knueppel,F,,7,10:16,63.7,0,17,3,1,1,1,1,7,15,0.467,1,4,0.25
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1628970,Miles,Bridges,M. Bridges,miles-bridges,F,,0,10:42,60.9,0,15,3,1,1,0,1,6,12,0.5,1,4,0.25
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1631217,Moussa,Diabaté,M. Diabaté,moussa-diabaté,C,,14,8:02,45.0,0,10,3,3,1,0,1,4,11,0.364,1,4,0.25
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1641706,Brandon,Miller,B. Miller,brandon-miller,G,,24,7:40,45.5,0,9,4,1,2,1,2,3,9,0.333,0,1,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1630163,LaMelo,Ball,L. Ball,lamelo-ball,G,,1,9:36,60.7,0,4,4,5,1,5,1,0,7,0.0,0,4,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1641750,Ryan,Kalkbrenner,R. Kalkbrenner,ryan-kalkbrenner,,,11,6:12,36.0,0,8,3,2,1,1,1,4,8,0.5,0,0,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1630182,Josh,Green,J. Green,josh-green,,,10,9:11,48.6,0,5,3,1,3,0,0,2,4,0.5,0,1,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1629684,Grant,Williams,G. Williams,grant-williams,,,2,7:22,41.1,0,6,3,2,1,1,0,2,4,0.5,0,2,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1642883,Sion,James,S. James,sion-james,,,4,8:43,47.0,0,5,8,0,1,2,0,1,7,0.143,0,1,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1630544,Tre,Mann,T. Mann,tre-mann,,,23,1:03,9.0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,21,3:53,20.4,0,8,2,1,0,0,0,3,7,0.429,1,2,0.5
0022500883,1610612766,Charlotte,Hornets,CHA,hornets,1642275,Tidjane,Salaün,T. Salaün,tidjane-salaün,,,31,0:15,2.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0
